Date: 19/07/01 ,Author: E.Hubble ,Observation: 43937 ,Instrument Response: Good 
Wavelength (nm) ,Intensity(A.U.) 
660.0,59.40852217373353
660.1,57.098657242984785
660.2,54.05471138772556
660.3,39.338781827103
660.4,63.990939532703756
660.5,63.044431834079646
660.6,54.630393005588566
660.7,55.12533116032583
660.8,48.62847527841637
660.9,39.688322367873525
661.0,54.941581538726915
661.1,48.7267535422939
661.2,49.805101369800525
661.3,51.26920972379962
661.4,48.6986666358865
661.5,52.076406557416185
661.6,51.94823711601204
661.7,52.20966794651589
661.8,55.81580129513802
661.9,51.95999358442273
662.0,47.34991461930896
662.1,49.315906793599176
662.2,58.530920307126294
662.3,64.61450965101213
662.4,56.538661891107694
662.5,66.1447871651244
662.6,52.19398522103769
662.7,46.44331858259404
662.8,52.440003753658985
662.9,44.06304055580206
663.0,51.001847647338614
663.1,58.17061539703368
663.2,57.55771820512636
663.3,49.657175724698305
663.4,43.603490001877994
663.5,45.25323583111504
663.6,40.8122543335463
663.7,55.67958981698782
663.8,55.8115315122603
663.9,40.91664696213506
664.0,53.98025685383726
664.1,50.56078769657182
664.2,58.68163682007891
664.3,59.09148957007375
664.4,52.751552263913936
664.5,50.6725790789358
664.6,49.326706164796015
664.7,51.40887767595774
664.8,43.509725724706975
664.9,44.97198489580432
665.0,48.327279750393174
665.1,62.480729087296695
665.2,51.643578251399
665.3,51.35357105420759
665.4,53.912493176036584
665.5,54.57836997095578
665.6,70.90779701037282
665.7,58.48415744381851
665.8,50.2279529035075
665.9,51.63458306310047
666.0,49.41087863918021
666.1,52.791264129329846
666.2,55.279666868150116
666.3,59.12723260819446
666.4,51.93793077982429
666.5,54.814640479554384
666.6,42.42954218839443
666.7,47.39144780922249
666.8,45.86574876796276
666.9,53.8756763804176
667.0,51.03979358614027
667.1,45.379369193467156
667.2,55.88588703773766
667.3,50.87736136532792
667.4,58.46501791041287
667.5,48.47055458223677
667.6,52.03461113551866
667.7,48.407730649995756
667.8,51.26633106757994
667.9,44.09751714747762
668.0,46.07869997425661
668.1,50.921281312294724
668.2,55.16537371798432
668.3,48.030509714714846
668.4,47.51378425257457
668.5,49.79173130448664
668.6,53.13806833914001
668.7,52.4369493347611
668.8,57.44388122190591
668.9,58.46133324613924
669.0,48.55679698306221
669.1,53.94527888183316
669.2,35.08137443179503
669.3,41.82338917659015
669.4,57.45551772141855
669.5,55.80033796081851
669.6,47.73648040994563
669.7,54.26702179921016
669.8,51.593627104367954
669.9,56.19500708673649
670.0,55.52935487730403
670.1,50.85758739171679
670.2,44.72631007776182
670.3,57.7554804207384
670.4,58.6158795126385
670.5,53.57330299811648
670.6,56.76168214191989
670.7,59.9696115564181
670.8,63.451482971305815
670.9,55.64629685113963
671.0,48.16139063895725
671.1,55.77697689908509
671.2,53.18497678593297
671.3,53.73309680180788
