Date: 19/07/01 ,Author: E.Hubble ,Observation: 47565 ,Instrument Response: Bad 
Wavelength (nm) ,Intensity(A.U.) 
660.0,60.54288741612599
660.1,64.4907027549564
660.2,64.83966190242936
660.3,57.63321176281539
660.4,55.1193994303501
660.5,57.59426637572841
660.6,66.42226774286601
660.7,49.100953290431264
660.8,40.977155749149304
660.9,47.20226180113592
661.0,56.786418988215885
661.1,47.48531285845721
661.2,61.41597328945909
661.3,58.183011403462366
661.4,46.81088256750395
661.5,61.61527847848073
661.6,59.78415386212737
661.7,55.42018048878712
661.8,69.18867566615737
661.9,65.29116561579835
662.0,50.86395226901424
662.1,52.35363338450816
662.2,63.489681091896
662.3,55.43250259695427
662.4,60.58591520659394
662.5,51.493336028908125
662.6,53.98983847148906
662.7,61.697174772297075
662.8,51.36518785538669
662.9,55.285101693895385
663.0,77.5285761482111
663.1,54.87676885270343
663.2,60.13068670979078
663.3,51.186100729399975
663.4,61.00834224118335
663.5,67.30960018630475
663.6,63.251884639994465
663.7,64.65281438722208
663.8,68.24328108518225
663.9,48.86751196116128
664.0,61.3119082836027
664.1,57.07729187135143
664.2,67.8318864583489
664.3,56.476044941848315
664.4,58.946960134636726
664.5,70.41651243601606
664.6,60.194185960414046
664.7,64.23803871459624
664.8,59.07587532250089
664.9,65.03617929492984
665.0,66.09280187300182
665.1,64.36925977793939
665.2,67.21147055678506
665.3,69.17452952879125
665.4,57.42373537558547
665.5,66.06757905664134
665.6,75.01744504326254
665.7,61.577060253604444
665.8,57.178326716569075
665.9,75.6759939177786
666.0,69.48691498816795
666.1,63.35261666296377
666.2,62.859006985972776
666.3,63.33197634632556
666.4,71.46485848083634
666.5,62.10147519829764
666.6,72.97363475158411
666.7,61.145273515583376
666.8,53.79063541463552
666.9,63.9515593835062
667.0,70.3927162505877
667.1,69.77354280352145
667.2,56.27489780056984
667.3,65.48011126109527
667.4,63.749118654485734
667.5,61.396788038782184
667.6,61.559914101673996
667.7,66.3167908757565
667.8,69.47264793643657
667.9,68.13293149404406
668.0,67.11544257716409
668.1,68.1472143014805
668.2,72.22491226182271
668.3,65.17866274066762
668.4,58.28298788186062
668.5,72.62170051583777
668.6,61.98653173043857
668.7,73.6755576031166
668.8,62.43312741764466
668.9,56.830175370135045
669.0,72.7443329876749
669.1,60.93021970696866
669.2,58.466386240884916
669.3,61.94716336941522
669.4,61.894215682305024
669.5,73.07976170222256
669.6,77.40686644287462
669.7,64.40307643024329
669.8,66.00519306317777
669.9,74.44560000629491
670.0,68.50199937373367
670.1,66.07199979570146
670.2,68.14822041924417
670.3,71.19128667736587
670.4,57.82846748462388
670.5,74.33225560208628
670.6,61.86629814333779
670.7,70.39382107621215
670.8,73.19357654629493
670.9,67.01877497376789
671.0,75.31475581534148
